tweet_id,favorites,retweets,user_followers,user_favourites,date_time
868622495443632128,25607,4991,8667141,144574,2017-05-28 00:18:35
868552278524837888,9687,1957,8667141,144574,2017-05-27 19:39:34
867900495410671616,23250,3949,8667141,144574,2017-05-26 00:29:37
867774946302451713,32627,6947,8667141,144574,2017-05-25 16:10:44
867421006826221569,15466,2352,8667142,144574,2017-05-24 16:44:18
867072653475098625,0,115,8667142,144574,2017-05-23 17:40:04
867051520902168576,30967,7444,8667142,144574,2017-05-23 16:16:06
866720684873056260,19293,4534,8667142,144574,2017-05-22 18:21:28
866686824827068416,18555,3290,8667142,144574,2017-05-22 16:06:55
866450705531457537,117650,33362,8667142,144574,2017-05-22 00:28:40
866334964761202691,50496,13513,8667142,144574,2017-05-21 16:48:45
866094527597207552,0,7944,8667142,144574,2017-05-21 00:53:21
865718153858494464,24721,5333,8667142,144574,2017-05-19 23:57:46
865359393868664832,25514,4747,8667142,144574,2017-05-19 00:12:11
865006731092295680,27007,7302,8667142,144574,2017-05-18 00:50:50
864873206498414592,31136,8264,8667142,144574,2017-05-17 16:00:15
864279568663928832,14073,2868,8667142,144574,2017-05-16 00:41:21
864197398364647424,28984,8430,8667142,144574,2017-05-15 19:14:50
863907417377173506,19888,3934,8667142,144574,2017-05-15 00:02:33
863553081350529029,14759,3988,8667142,144574,2017-05-14 00:34:33
863471782782697472,0,2313,8667142,144574,2017-05-13 19:11:30
863432100342583297,23011,4995,8667142,144574,2017-05-13 16:33:49
863427515083354112,2149,91,8667142,144574,2017-05-13 16:15:35
863079547188785154,8481,1057,8667142,144574,2017-05-12 17:12:53
863062471531167744,8187,2313,8667142,144574,2017-05-12 16:05:02
862831371563274240,18545,4905,8667142,144574,2017-05-12 00:46:44
862722525377298433,16528,3379,8667142,144574,2017-05-11 17:34:13
862457590147678208,19800,4712,8667142,144574,2017-05-11 00:01:27
862096992088072192,71923,22147,8667142,144574,2017-05-10 00:08:34
861383897657036800,34972,10248,8667142,144574,2017-05-08 00:54:59
861288531465048066,16640,3958,8667142,144574,2017-05-07 18:36:02
861005113778896900,16190,3656,8667142,144574,2017-05-06 23:49:50
860981674716409858,0,2058,8667142,144574,2017-05-06 22:16:42
860924035999428608,0,772,8667142,144574,2017-05-06 18:27:40
860563773140209665,7282,2058,8667142,144574,2017-05-05 18:36:06
860524505164394496,22936,5086,8667142,144574,2017-05-05 16:00:04
860276583193509888,17822,3350,8667142,144574,2017-05-04 23:34:55
860184849394610176,16187,5616,8667142,144574,2017-05-04 17:30:24
860177593139703809,0,29695,8667142,144574,2017-05-04 17:01:34
859924526012018688,19007,3938,8667142,144574,2017-05-04 00:15:58
859851578198683649,15001,3374,8667142,144574,2017-05-03 19:26:06
859607811541651456,18093,1503,8667142,144574,2017-05-03 03:17:27
859196978902773760,87473,29001,8666438,144573,2017-05-02 00:04:57
859074603037188101,32931,13121,8667142,144574,2017-05-01 15:58:40
858860390427611136,0,7838,8667142,144574,2017-05-01 01:47:28
858843525470990336,15174,3363,8667142,144574,2017-05-01 00:40:27
858471635011153920,20957,4684,8667142,144574,2017-04-30 00:02:42
858107933456039936,15365,2810,8667142,144574,2017-04-28 23:57:28
857989990357356544,15693,2503,8667142,144574,2017-04-28 16:08:49
857746408056729600,33404,10260,8667142,144574,2017-04-28 00:00:54
857393404942143489,5756,1585,8667143,144574,2017-04-27 00:38:11
857263160327368704,19568,4371,8667143,144574,2017-04-26 16:00:39
857214891891077121,220,17,8667143,144574,2017-04-26 12:48:51
857062103051644929,0,164,8667143,144574,2017-04-26 02:41:43
857029823797047296,18459,3872,8667143,144574,2017-04-26 00:33:27
856543823941562368,15965,2799,8667143,144574,2017-04-24 16:22:16
856526610513747968,11603,1817,8667143,144574,2017-04-24 15:13:52
856330835276025856,0,648,8667143,144574,2017-04-24 02:15:55
856288084350160898,506,15,8667143,144574,2017-04-23 23:26:03
856282028240666624,27184,6115,8667143,144574,2017-04-23 23:01:59
855862651834028034,334,25,8667143,144574,2017-04-22 19:15:32
855860136149123072,4844,963,8667143,144574,2017-04-22 19:05:32
855857698524602368,11628,2051,8667143,144574,2017-04-22 18:55:51
855851453814013952,44769,17493,8667143,144574,2017-04-22 18:31:02
855818117272018944,26148,5283,8667143,144574,2017-04-22 16:18:34
855459453768019968,29311,8016,8667143,144574,2017-04-21 16:33:22
855245323840757760,0,5821,8667143,144574,2017-04-21 02:22:29
855138241867124737,0,43,8667143,144574,2017-04-20 19:16:59
854732716440526848,22416,5933,8667143,144574,2017-04-19 16:25:34
854482394044301312,28812,6725,8667143,144574,2017-04-18 23:50:52
854365224396361728,18606,4592,8667143,144574,2017-04-18 16:05:17
854120357044912130,31520,7327,8667143,144574,2017-04-17 23:52:16
854010172552949760,15991,3089,8667143,144574,2017-04-17 16:34:26
853760880890318849,28201,5632,8667143,144574,2017-04-17 00:03:50
853639147608842240,34299,9881,8667143,144574,2017-04-16 16:00:07
853299958564483072,15303,3489,8667143,144574,2017-04-15 17:32:18
852936405516943360,0,1970,8667143,144574,2017-04-14 17:27:40
852912242202992640,8942,1788,8667143,144574,2017-04-14 15:51:39
852672615818899456,14762,2117,8667144,144574,2017-04-13 23:59:28
852553447878664193,16143,3431,8667144,144574,2017-04-13 16:05:56
852311364735569921,32811,9795,8667144,144574,2017-04-13 00:03:59
852226086759018497,19792,6741,8667144,144574,2017-04-12 18:25:07
852189679701164033,11347,1568,8667144,144574,2017-04-12 16:00:27
851861385021730816,0,19,8667144,144574,2017-04-11 18:15:55
851591660324737024,16127,3439,8667144,144574,2017-04-11 00:24:08
851464819735769094,24071,6964,8667144,144574,2017-04-10 16:00:07
851224888060895234,20548,5663,8667144,144574,2017-04-10 00:06:42
850753642995093505,30663,9047,8667144,144574,2017-04-08 16:54:09
850380195714523136,13012,2591,8667144,144574,2017-04-07 16:10:12
850333567704068097,3435,328,8667144,144574,2017-04-07 13:04:55
850145622816686080,16251,3770,8667144,144574,2017-04-07 00:38:06
850019790995546112,20329,4840,8667144,144574,2017-04-06 16:18:05
849776966551130114,30329,7556,8667144,144574,2017-04-06 00:13:11
849668094696017920,0,4920,8667144,144574,2017-04-05 17:00:34
849412302885593088,15818,3139,8667144,144574,2017-04-05 00:04:08
849336543269576704,11375,1892,8667144,144574,2017-04-04 19:03:06
849051919805034497,42209,8427,8667144,144574,2017-04-04 00:12:06
848690551926992896,25124,4295,8667144,144574,2017-04-03 00:16:10
848324959059550208,24662,4575,8667144,144574,2017-04-02 00:03:26
848213670039564288,8159,729,8667144,144574,2017-04-01 16:41:12
848212111729840128,16283,3026,8667144,144574,2017-04-01 16:35:01
847978865427394560,0,3246,8667144,144574,2017-04-01 01:08:10
847971574464610304,0,429,8667144,144574,2017-04-01 00:39:12
847962785489326080,23461,5060,8667144,144574,2017-04-01 00:04:17
847842811428974592,5428,1329,8667145,144574,2017-03-31 16:07:33
847617282490613760,6979,417,8667145,144574,2017-03-31 01:11:22
847606175596138505,18737,3414,8667145,144574,2017-03-31 00:27:14
847251039262605312,20490,4297,8667145,144574,2017-03-30 00:56:03
847157206088847362,19868,5840,8667145,144574,2017-03-29 18:43:12
847116187444137987,21447,3173,8667145,144574,2017-03-29 16:00:12
846874817362120707,20118,3918,8667145,144574,2017-03-29 00:01:05
846514051647705089,44668,11554,8667145,144574,2017-03-28 00:07:32
846505985330044928,14113,3057,8667145,144574,2017-03-27 23:35:28
846153765933735936,31674,9041,8667145,144574,2017-03-27 00:15:53
846139713627017216,31098,9994,8667145,144574,2017-03-26 23:20:02
846042936437604353,16005,2861,8667146,144574,2017-03-26 16:55:29
845812042753855489,29300,8702,8667146,144574,2017-03-26 01:38:00
845677943972139009,25241,4798,8667146,144574,2017-03-25 16:45:08
845397057150107648,7654,1808,8667146,144574,2017-03-24 22:08:59
845306882940190720,23405,5395,8667146,144574,2017-03-24 16:10:40
845098359547420673,0,7662,8667146,144574,2017-03-24 02:22:04
844979544864018432,13686,2565,8667146,144574,2017-03-23 18:29:57
844973813909606400,15138,3202,8667148,144574,2017-03-23 18:07:10
844580511645339650,16523,3134,8667148,144574,2017-03-22 16:04:20
844223788422217728,13696,2207,8667148,144574,2017-03-21 16:26:50
843981021012017153,15232,2953,8667148,144574,2017-03-21 00:22:10
843856843873095681,21556,4636,8667148,144574,2017-03-20 16:08:44
843604394117681152,16962,2752,8667148,144574,2017-03-19 23:25:35
843235543001513987,21617,6044,8667148,144574,2017-03-18 22:59:54
842846295480000512,15344,3649,8667148,144574,2017-03-17 21:13:10
842765311967449089,6783,1288,8667148,144574,2017-03-17 15:51:22
842535590457499648,18191,3524,8667148,144574,2017-03-17 00:38:32
842163532590374912,24611,5821,8667149,144574,2017-03-16 00:00:07
842115215311396866,14062,3044,8667149,144574,2017-03-15 20:48:07
841833993020538882,0,15224,8667150,144574,2017-03-15 02:10:39
841680585030541313,25876,7839,8667150,144574,2017-03-14 16:01:03
841439858740625411,12739,3705,8667150,144574,2017-03-14 00:04:30
841320156043304961,19915,5525,8667150,144574,2017-03-13 16:08:50
841314665196081154,15928,4691,8667150,144574,2017-03-13 15:47:01
841077006473256960,23029,5349,8667150,144574,2017-03-13 00:02:39
840761248237133825,0,1781,8667150,144574,2017-03-12 03:07:56
840728873075638272,0,16268,8667150,144574,2017-03-12 00:59:17
840698636975636481,177,2,8667150,144574,2017-03-11 22:59:09
840696689258311684,12378,976,8667150,144574,2017-03-11 22:51:24
840632337062862849,9073,1781,8667150,144574,2017-03-11 18:35:42
840370681858686976,16587,4577,8667150,144574,2017-03-11 01:15:58
840268004936019968,19432,5777,8667150,144574,2017-03-10 18:27:58
839990271299457024,13532,2297,8667150,144574,2017-03-10 00:04:21
839549326359670784,27738,7838,8667150,144574,2017-03-08 18:52:12
839290600511926273,0,145,8667150,144574,2017-03-08 01:44:07
839239871831150596,27419,6587,8667150,144574,2017-03-07 22:22:32
838952994649550848,19837,4036,8667150,144574,2017-03-07 03:22:35
838921590096166913,11268,2083,8667150,144574,2017-03-07 01:17:48
838916489579200512,0,35,8667150,144574,2017-03-07 00:57:32
838831947270979586,0,11124,8667151,144574,2017-03-06 19:21:35
838561493054533637,11036,1349,8667151,144574,2017-03-06 01:26:54
838476387338051585,22773,4827,8667151,144574,2017-03-05 19:48:43
838201503651401729,0,10184,8667151,144574,2017-03-05 01:36:26
838150277551247360,1692,334,8667151,144574,2017-03-04 22:12:52
838085839343206401,143,1,8667151,144574,2017-03-04 17:56:49
838083903487373313,17812,3175,8667151,144574,2017-03-04 17:49:08
837820167694528512,34515,7944,8667151,144574,2017-03-04 00:21:08
837482249356513284,3881,445,8667151,144574,2017-03-03 01:58:22
837471256429613056,12940,2300,8667151,144574,2017-03-03 01:14:41
837110210464448512,16240,2393,8667152,144574,2017-03-02 01:20:01
836989968035819520,12902,2311,8667152,144574,2017-03-01 17:22:13
836753516572119041,19544,4694,8667152,144574,2017-03-01 01:42:39
836677758902222849,12745,2248,8667152,144574,2017-02-28 20:41:37
836648853927522308,0,561,8667152,144574,2017-02-28 18:46:45
836397794269200385,0,27879,8667152,144574,2017-02-28 02:09:08
836380477523124226,14920,3016,8667153,144574,2017-02-28 01:00:19
836260088725786625,21581,4349,8667152,144574,2017-02-27 17:01:56
836001077879255040,19326,4312,8667152,144574,2017-02-26 23:52:43
835685285446955009,0,8227,8667152,144574,2017-02-26 02:57:52
835574547218894849,18028,3660,8667152,144574,2017-02-25 19:37:50
835536468978302976,0,1726,8667152,144574,2017-02-25 17:06:32
835309094223372289,0,21276,8667152,144574,2017-02-25 02:03:02
835297930240217089,16678,3058,8667152,144574,2017-02-25 01:18:40
835264098648616962,7837,1726,8667152,144574,2017-02-24 23:04:14
835246439529840640,2134,73,8667152,144574,2017-02-24 21:54:03
835172783151792128,26510,5844,8667152,144574,2017-02-24 17:01:22
835152434251116546,22730,3061,8667152,144574,2017-02-24 15:40:31
834931633769889797,10964,1671,8667152,144574,2017-02-24 01:03:08
834786237630337024,21614,5573,8667152,144574,2017-02-23 15:25:23
834574053763584002,13850,2576,8667152,144574,2017-02-23 01:22:14
834477809192075265,0,10818,8667152,144574,2017-02-22 18:59:48
834458053273591808,9746,1708,8667152,144574,2017-02-22 17:41:18
834209720923721728,20906,4830,8667152,144574,2017-02-22 01:14:30
834167344700198914,16036,3714,8667152,144574,2017-02-21 22:26:07
834089966724603904,10174,2168,8667153,144574,2017-02-21 17:18:39
834086379323871233,13244,2237,8667153,144574,2017-02-21 17:04:24
833863086058651648,13586,2443,8667153,144574,2017-02-21 02:17:06
833826103416520705,18270,3822,8667153,144574,2017-02-20 23:50:09
833732339549220864,0,222,8667153,144574,2017-02-20 17:37:34
833722901757046785,21080,3279,8667154,144574,2017-02-20 17:00:04
833479644947025920,15068,2082,8667155,144574,2017-02-20 00:53:27
833124694597443584,20465,4920,8667155,144574,2017-02-19 01:23:00
832998151111966721,13470,2239,8667155,144574,2017-02-18 17:00:10
832769181346996225,0,39,8667155,144574,2017-02-18 01:50:19
832757312314028032,17089,3684,8667155,144574,2017-02-18 01:03:09
832682457690300417,12054,2964,8667155,144574,2017-02-17 20:05:43
832645525019123713,2974,537,8667155,144574,2017-02-17 17:38:57
832636094638288896,16099,2836,8667155,144574,2017-02-17 17:01:29
832397543355072512,12130,2250,8667155,144574,2017-02-17 01:13:34
832369877331693569,17442,3246,8667155,144574,2017-02-16 23:23:38
832273440279240704,11525,2374,8666451,144573,2017-02-16 17:00:25
832215909146226688,0,6315,8667155,144574,2017-02-16 13:11:49
832215726631055365,0,9517,8667155,144574,2017-02-16 13:11:05
832088576586297345,64,2,8667155,144574,2017-02-16 04:45:50
832040443403784192,0,9800,8667155,144574,2017-02-16 01:34:34
832032802820481025,18151,4747,8667155,144574,2017-02-16 01:04:13
831939777352105988,24372,6250,8667155,144574,2017-02-15 18:54:34
831926988323639298,344,34,8667155,144574,2017-02-15 18:03:45
831911600680497154,28069,6617,8667155,144574,2017-02-15 17:02:36
831670449226514432,10616,1854,8667155,144574,2017-02-15 01:04:21
831650051525054464,7277,1970,8667155,144574,2017-02-14 23:43:18
831552930092285952,9125,2347,8667155,144574,2017-02-14 17:17:22
831322785565769729,9409,1582,8667155,144574,2017-02-14 02:02:51
831315979191906304,6658,1143,8667155,144574,2017-02-14 01:35:49
831309418084069378,11935,2499,8667155,144574,2017-02-14 01:09:44
831262627380748289,12103,2083,8667155,144574,2017-02-13 22:03:49
830956169170665475,8109,1521,8667155,144574,2017-02-13 01:46:03
830583320585068544,68026,17120,8667155,144574,2017-02-12 01:04:29
830173239259324417,0,5817,8667155,144574,2017-02-10 21:54:58
830097400375152640,10004,3010,8667155,144574,2017-02-10 16:53:37
829878982036299777,0,5125,8667155,144574,2017-02-10 02:25:42
829861396166877184,12432,1984,8667155,144574,2017-02-10 01:15:49
829501995190984704,32314,10818,8667155,144574,2017-02-09 01:27:41
829449946868879360,10642,2068,8667155,144574,2017-02-08 22:00:52
